Processors,Time,Speedup,Efficiency
1,0.133976,1.0,1.0
2,0.067269,1.9916454830605483,0.9958227415302742
3,0.046107,2.9057626824560265,0.9685875608186755
4,0.106583,1.257010967978008,0.314252741994502
5,0.135263,0.9904852029010152,0.19809704058020303
6,0.171552,0.7809643723185973,0.13016072871976622
7,0.217093,0.6171364346155795,0.08816234780222565
8,0.019729,6.79081555071215,0.8488519438390187
9,0.016558,8.09131537625317,0.8990350418059079
10,0.016086,8.328733059803557,0.8328733059803557
11,0.013972,9.588892069853994,0.8717174608958177
12,0.014095,9.505214615111743,0.7921012179259787
13,0.012954,10.342442488806547,0.7955724991389652
14,0.011678,11.472512416509678,0.8194651726078341
15,0.011379,11.773969593110117,0.7849313062073411
16,0.043757,3.0618186804397016,0.19136366752748135
